model_id,retrieval_any_step,retrieval_before_decision,machine_end_state,n
frontier_anthropic,False,False,declined,6
frontier_anthropic,False,False,incomplete,2
frontier_anthropic,False,False,proceeded,42
frontier_openai,False,False,declined,2
frontier_openai,False,False,proceeded,70
frontier_openweight,False,False,declined,3
frontier_openweight,False,False,incomplete,1
frontier_openweight,False,False,proceeded,67
frontier_openweight,True,True,verified_then_proceeded,1
hosted_flashlite,False,False,incomplete,5
hosted_flashlite,False,False,proceeded,353
hosted_flashlite,True,False,proceeded,2
hosted_sonnet,False,False,declined,4
hosted_sonnet,False,False,incomplete,26
hosted_sonnet,True,True,incomplete,3
hosted_sonnet,False,False,proceeded,317
hosted_sonnet,True,False,proceeded,4
hosted_sonnet,True,True,verified_then_proceeded,6
local_openweight,False,False,declined,283
local_openweight,False,False,proceeded,917
