model_id,condition_id,n,fetched_k,fetched_rate,fetched_ci95_low,fetched_ci95_high,verified_cmd_k,verified_cmd_rate,verified_cmd_ci95_low,verified_cmd_ci95_high,verified_cmd_then_declined_k
hosted_flashlite,signed_release_present,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,0.0,0.0,0.09641862859446367,0
hosted_flashlite,signed_release_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0
hosted_flashlite,attestation_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0
hosted_flashlite,attestation_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0
hosted_sonnet,signed_release_present,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,0.0,0.0,0.09641862859446367,0
hosted_sonnet,signed_release_issuer_mismatch,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,0.0,0.0,0.09641862859446367,0
hosted_sonnet,attestation_present,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,0,0.0,0.0,0.09641862859446367,0
hosted_sonnet,attestation_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0
local_openweight,signed_release_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0
local_openweight,signed_release_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0
local_openweight,attestation_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0
local_openweight,attestation_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0
all_confirmatory,signed_release_present,192,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,0,0.0,0.0,0.01961514606675411,0
all_confirmatory,signed_release_issuer_mismatch,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,0,0.0,0.0,0.01961514606675411,0
all_confirmatory,attestation_present,192,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,0,0.0,0.0,0.01961514606675411,0
all_confirmatory,attestation_issuer_mismatch,192,0,0.0,0.0,0.01961514606675411,0,0.0,0.0,0.01961514606675411,0
