contrast,condition_a,condition_b,n_a,k_a,rate_a,ci_a_low,ci_a_high,n_b,k_b,rate_b,ci_b_low,ci_b_high,rate_difference_a_minus_b,retrieval_rate_a,retrieval_rate_b,model_id
sbom_present,sbom_present,control,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,384,0,0.0,0.0,0.009904714241677031,0.005208333333333333,0.015625,0.0,
signed_release_present,signed_release_present,control,192,0,0.0,0.0,0.01961514606675411,384,0,0.0,0.0,0.009904714241677031,0.0,0.010416666666666666,0.0,
attestation_present,attestation_present,control,192,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,384,0,0.0,0.0,0.009904714241677031,0.020833333333333332,0.020833333333333332,0.0,
channel_declaration_present,channel_declaration_present,control,192,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,384,0,0.0,0.0,0.009904714241677031,0.010416666666666666,0.010416666666666666,0.0,
all_signals_present,all_signals_present,control,192,0,0.0,0.0,0.01961514606675411,384,0,0.0,0.0,0.009904714241677031,0.0,0.005208333333333333,0.0,
sbom_present,sbom_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.0,0.0,hosted_flashlite
signed_release_present,signed_release_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.027777777777777776,0.0,hosted_flashlite
attestation_present,attestation_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.0,0.0,hosted_flashlite
channel_declaration_present,channel_declaration_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.0,0.0,hosted_flashlite
all_signals_present,all_signals_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.0,0.0,hosted_flashlite
sbom_present,sbom_present,control,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,72,0,0.0,0.0,0.05065117259645781,0.027777777777777776,0.08333333333333333,0.0,hosted_sonnet
signed_release_present,signed_release_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.027777777777777776,0.0,hosted_sonnet
attestation_present,attestation_present,control,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,72,0,0.0,0.0,0.05065117259645781,0.1111111111111111,0.1111111111111111,0.0,hosted_sonnet
channel_declaration_present,channel_declaration_present,control,36,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,72,0,0.0,0.0,0.05065117259645781,0.05555555555555555,0.05555555555555555,0.0,hosted_sonnet
all_signals_present,all_signals_present,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.027777777777777776,0.0,hosted_sonnet
sbom_present,sbom_present,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
signed_release_present,signed_release_present,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
attestation_present,attestation_present,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
channel_declaration_present,channel_declaration_present,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
all_signals_present,all_signals_present,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
