model_id,condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
hosted_flashlite,control,72,0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0,71,0,1,68,1,3,0
hosted_flashlite,sbom_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,36,0,0,36,0,0,0
hosted_flashlite,signed_release_present,36,0,0.0,0.0,0.09641862859446367,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,36,0,0,36,0,0,0
hosted_flashlite,attestation_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,35,0,1,35,0,1,0
hosted_flashlite,channel_declaration_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,36,0,0,33,3,0,0
hosted_flashlite,signed_release_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,36,0,0,34,0,2,0
hosted_flashlite,attestation_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,36,0,0,34,1,1,0
hosted_flashlite,all_signals_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,33,0,3,32,1,3,0
hosted_flashlite,inconsistent_surface,36,0,0.0,0.0,0.09641862859446367,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,36,0,0,36,0,0,0
hosted_sonnet,control,72,0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0,66,2,4,41,15,16,0
hosted_sonnet,sbom_present,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,3,0.08333333333333333,0.02874861133599338,0.2182669124927263,0,33,0,3,18,8,10,0
hosted_sonnet,signed_release_present,36,0,0.0,0.0,0.09641862859446367,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,33,0,3,13,10,13,0
hosted_sonnet,attestation_present,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,2,29,0,5,23,8,5,0
hosted_sonnet,channel_declaration_present,36,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,2,31,0,3,26,4,6,0
hosted_sonnet,signed_release_issuer_mismatch,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,32,1,2,23,5,8,0
hosted_sonnet,attestation_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,32,0,4,19,8,9,0
hosted_sonnet,all_signals_present,36,0,0.0,0.0,0.09641862859446367,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,33,0,3,19,8,9,0
hosted_sonnet,inconsistent_surface,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,32,1,2,22,9,5,0
local_openweight,control,240,0,0.0,0.0,0.015753919941558815,0,0.0,0.0,0.015753919941558815,0,189,51,0,240,0,0,0
local_openweight,sbom_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,94,26,0,120,0,0,0
local_openweight,signed_release_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,87,33,0,120,0,0,0
local_openweight,attestation_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,91,29,0,120,0,0,0
local_openweight,channel_declaration_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,92,28,0,120,0,0,0
local_openweight,signed_release_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,95,25,0,120,0,0,0
local_openweight,attestation_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,90,30,0,120,0,0,0
local_openweight,all_signals_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,94,26,0,120,0,0,0
local_openweight,inconsistent_surface,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,85,35,0,120,0,0,0
