project_id,condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
covalent,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,52,12,0,61,0,3,0
covalent,sbom_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,30,0,2,0
covalent,signed_release_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,29,0,3,0
covalent,attestation_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,31,0,1,0
covalent,channel_declaration_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,31,0,1,0
covalent,signed_release_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,6,0,30,0,2,0
covalent,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,30,1,1,0
covalent,all_signals_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,30,1,1,0
covalent,inconsistent_surface,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,30,1,1,0
envpool,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,56,7,1,56,6,2,0
envpool,sbom_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,4,0,28,2,2,0
envpool,signed_release_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,22,9,1,29,1,2,0
envpool,attestation_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,27,4,1,28,2,2,0
envpool,channel_declaration_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,24,7,1,27,3,2,0
envpool,signed_release_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,25,7,0,30,2,0,0
envpool,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,27,4,1,25,4,3,0
envpool,all_signals_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,27,5,0,26,6,0,0
envpool,inconsistent_surface,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,6,0,27,4,1,0
faasm,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,50,11,3,54,7,3,0
faasm,sbom_present,32,1,0.03125,0.005537860164003122,0.15744263820012558,3,0.09375,0.032401551298366194,0.24218154728387864,0,26,5,1,28,3,1,0
faasm,signed_release_present,32,0,0.0,0.0,0.1071791982550706,1,0.03125,0.005537860164003122,0.15744263820012558,0,23,8,1,26,5,1,0
faasm,attestation_present,32,3,0.09375,0.032401551298366194,0.24218154728387864,3,0.09375,0.032401551298366194,0.24218154728387864,1,21,7,3,26,5,1,0
faasm,channel_declaration_present,32,2,0.0625,0.017310567031640967,0.2014712314415458,2,0.0625,0.017310567031640967,0.2014712314415458,2,22,7,1,28,2,2,0
faasm,signed_release_issuer_mismatch,32,1,0.03125,0.005537860164003122,0.15744263820012558,1,0.03125,0.005537860164003122,0.15744263820012558,1,24,5,2,26,2,4,0
faasm,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,24,6,2,28,2,2,0
faasm,all_signals_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,22,7,3,26,2,4,0
faasm,inconsistent_surface,32,1,0.03125,0.005537860164003122,0.15744263820012558,1,0.03125,0.005537860164003122,0.15744263820012558,1,22,8,1,28,3,1,0
mpi4py,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,59,4,1,59,2,3,0
mpi4py,sbom_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,30,0,2,28,3,1,0
mpi4py,signed_release_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,31,0,1,27,4,1,0
mpi4py,attestation_present,32,1,0.03125,0.005537860164003122,0.15744263820012558,1,0.03125,0.005537860164003122,0.15744263820012558,1,30,0,1,30,1,1,0
mpi4py,channel_declaration_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,31,0,1,31,0,1,0
mpi4py,signed_release_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,32,0,0,31,1,0,0
mpi4py,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,31,0,1,28,2,2,0
mpi4py,all_signals_present,32,0,0.0,0.0,0.1071791982550706,1,0.03125,0.005537860164003122,0.15744263820012558,0,30,1,1,30,0,2,0
mpi4py,inconsistent_surface,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,30,1,1,30,1,1,0
qrisp,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,51,13,0,59,1,4,0
