model_id,harness_id,condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
frontier_anthropic,autonomous,control,15,0,0.0,0.0,0.20388330103584862,0,0.0,0.0,0.20388330103584862,0,15,0,0,10,4,1,0
frontier_anthropic,autonomous,all_signals_present,9,0,0.0,0.0,0.2991450484195441,0,0.0,0.0,0.2991450484195441,0,7,2,0,7,2,0,0
frontier_anthropic,gated,control,14,0,0.0,0.0,0.2153108027376358,0,0.0,0.0,0.2153108027376358,0,13,1,0,12,2,0,0
frontier_anthropic,gated,all_signals_present,12,0,0.0,0.0,0.24249400665524085,0,0.0,0.0,0.24249400665524085,0,7,3,2,8,2,2,0
frontier_openai,autonomous,control,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,18,0,0,18,0,0,0
frontier_openai,autonomous,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,18,0,0,18,0,0,0
frontier_openai,gated,control,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,1,0,18,0,0,0
frontier_openai,gated,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,1,0,18,0,0,0
frontier_openweight,autonomous,control,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,1,0,16,2,0,0
frontier_openweight,autonomous,all_signals_present,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,1,15,1,1,15,3,0,0
frontier_openweight,gated,control,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,1,0,14,4,0,0
frontier_openweight,gated,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,18,0,0,14,3,1,0
hosted_flashlite,autonomous,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,35,0,1,33,1,2,0
hosted_flashlite,autonomous,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,16,0,2,15,1,2,0
hosted_flashlite,gated,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,36,0,0,35,0,1,0
hosted_flashlite,gated,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,0,1,17,0,1,0
hosted_sonnet,autonomous,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,34,1,1,17,9,10,0
hosted_sonnet,autonomous,all_signals_present,18,0,0.0,0.0,0.17587922364665765,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,0,16,0,2,10,4,4,0
hosted_sonnet,gated,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,32,1,3,24,6,6,0
hosted_sonnet,gated,all_signals_present,18,0,0.0,0.0,0.17587922364665765,0,0.0,0.0,0.17587922364665765,0,17,0,1,9,4,5,0
local_openweight,autonomous,control,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,93,27,0,120,0,0,0
local_openweight,autonomous,all_signals_present,60,0,0.0,0.0,0.06017185214208986,0,0.0,0.0,0.06017185214208986,0,43,17,0,60,0,0,0
local_openweight,gated,control,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,96,24,0,120,0,0,0
local_openweight,gated,all_signals_present,60,0,0.0,0.0,0.06017185214208986,0,0.0,0.0,0.06017185214208986,0,51,9,0,60,0,0,0
