model_id,condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
frontier_anthropic,control,29,0,0.0,0.0,0.11696979849974075,0,0.0,0.0,0.11696979849974075,0,28,1,0,22,6,1,0
frontier_anthropic,all_signals_present,21,0,0.0,0.0,0.154639018924847,0,0.0,0.0,0.154639018924847,0,14,5,2,15,4,2,0
frontier_openai,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,35,1,0,36,0,0,0
frontier_openai,all_signals_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,35,1,0,36,0,0,0
frontier_openweight,control,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,34,2,0,30,6,0,0
frontier_openweight,all_signals_present,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,33,1,1,29,6,1,0
hosted_flashlite,control,72,0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0,71,0,1,68,1,3,0
hosted_flashlite,all_signals_present,36,0,0.0,0.0,0.09641862859446367,0,0.0,0.0,0.09641862859446367,0,33,0,3,32,1,3,0
hosted_sonnet,control,72,0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0,66,2,4,41,15,16,0
hosted_sonnet,all_signals_present,36,0,0.0,0.0,0.09641862859446367,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,33,0,3,19,8,9,0
local_openweight,control,240,0,0.0,0.0,0.015753919941558815,0,0.0,0.0,0.015753919941558815,0,189,51,0,240,0,0,0
local_openweight,all_signals_present,120,0,0.0,0.0,0.031019166418703486,0,0.0,0.0,0.031019166418703486,0,94,26,0,120,0,0,0
