project_id,github_repo,domain,branch,pyproject_toml,setup_py,probed_at,note
horovod,horovod/horovod,hpc,master,False,True,2026-08-19T18:00:31Z,
taskflow,taskflow/taskflow,hpc,master,False,False,2026-08-19T18:00:31Z,
fluidx3d,projectphysx/fluidx3d,hpc,master,False,False,2026-08-19T18:00:31Z,
spack,spack/spack,hpc,master,True,False,2026-08-19T18:00:31Z,
thread-pool,bshoshany/thread-pool,hpc,master,True,False,2026-08-19T18:00:31Z,
cuda-oxide,nvlabs/cuda-oxide,hpc,main,False,False,2026-08-19T18:00:31Z,
blis,flame/blis,hpc,master,False,False,2026-08-19T18:00:31Z,
kokkos,kokkos/kokkos,hpc,master,False,False,2026-08-19T18:00:31Z,
mfem,mfem/mfem,hpc,main,False,False,2026-08-19T18:00:31Z,
hermit-rs,hermit-os/hermit-rs,hpc,main,False,False,2026-08-19T18:00:31Z,
adaptivecpp,adaptivecpp/adaptivecpp,hpc,master,False,False,2026-08-19T18:00:31Z,
nnpack,maratyszcza/nnpack,hpc,master,False,False,2026-08-19T18:00:31Z,
dealii,dealii/dealii,hpc,master,False,False,2026-08-19T18:00:31Z,
ucx,openucx/ucx,hpc,master,False,False,2026-08-19T18:00:31Z,
elmerfem,elmercsc/elmerfem,hpc,master,False,False,2026-08-19T18:00:31Z,
sse2neon,dltcollab/sse2neon,hpc,master,False,False,2026-08-19T18:00:31Z,
envpool,sail-sg/envpool,hpc,main,False,True,2026-08-19T18:00:31Z,
kernel,hermit-os/kernel,hpc,main,False,False,2026-08-19T18:00:31Z,
arraymancer,mratsim/arraymancer,hpc,master,False,False,2026-08-19T18:00:31Z,
trilinos,trilinos/trilinos,hpc,master,False,False,2026-08-19T18:00:31Z,
drake,ropensci/drake,hpc,main,False,False,2026-08-19T18:00:31Z,
kratos,kratosmultiphysics/kratos,hpc,master,False,False,2026-08-19T18:00:31Z,
targets,ropensci/targets,hpc,main,False,False,2026-08-19T18:00:31Z,
openmc,openmc-dev/openmc,hpc,master,True,False,2026-08-19T18:00:31Z,
hdf5,hdfgroup/hdf5,hpc,master,False,False,2026-08-19T18:00:31Z,
faasm,faasm/faasm,hpc,main,True,False,2026-08-19T18:00:31Z,
mpi4py,mpi4py/mpi4py,hpc,master,True,True,2026-08-19T18:00:31Z,
zfp,llnl/zfp,hpc,master,False,True,2026-08-19T18:00:31Z,
amgcl,ddemidov/amgcl,hpc,master,False,True,2026-08-19T18:00:31Z,
hypre,hypre-space/hypre,hpc,master,False,False,2026-08-19T18:00:31Z,
geant4,geant4/geant4,hpc,master,False,False,2026-08-19T18:00:31Z,
gpumd,brucefan1983/gpumd,hpc,master,False,False,2026-08-19T18:00:31Z,
amrex,amrex-codes/amrex,hpc,master,False,False,2026-08-19T18:00:31Z,
mpich,pmodels/mpich,hpc,main,False,False,2026-08-19T18:00:31Z,
rose,llnl/rose,hpc,master,False,False,2026-08-19T18:00:31Z,
sundials,llnl/sundials,hpc,main,True,False,2026-08-19T18:00:31Z,
prometeo,zanellia/prometeo,hpc,master,False,True,2026-08-19T18:00:31Z,
dace,spcl/dace,hpc,main,False,True,2026-08-19T18:00:31Z,
rsmpi,rsmpi/rsmpi,hpc,main,False,False,2026-08-19T18:00:31Z,
qiskit,qiskit/qiskit,qc,main,True,True,2026-08-19T18:00:31Z,
cirq,quantumlib/cirq,qc,main,True,True,2026-08-19T18:00:31Z,
pennylane,pennylaneai/pennylane,qc,main,True,True,2026-08-19T18:00:31Z,
quantum,tensorflow/quantum,qc,master,False,False,2026-08-19T18:00:31Z,
qutip,qutip/qutip,qc,master,True,True,2026-08-19T18:00:31Z,
rustworkx,qiskit/rustworkx,qc,main,True,True,2026-08-19T18:00:31Z,
openfermion,quantumlib/openfermion,qc,main,True,True,2026-08-19T18:00:31Z,
torchquantum,mit-han-lab/torchquantum,qc,main,False,True,2026-08-19T18:00:31Z,
pyquil,rigetti/pyquil,qc,master,True,False,2026-08-19T18:00:31Z,
openqasm,openqasm/openqasm,qc,main,False,False,2026-08-19T18:00:31Z,
qpanda-2,originq/qpanda-2,qc,master,False,False,2026-08-19T18:00:31Z,
cuda-quantum,nvidia/cuda-quantum,qc,main,True,False,2026-08-19T18:00:31Z,
qiskit-machine-learning,qiskit-community/qiskit-machine-learning,qc,main,True,True,2026-08-19T18:00:31Z,
yao-jl,quantumbfs/yao.jl,qc,master,False,False,2026-08-19T18:00:31Z,
projectq,projectq-framework/projectq,qc,master,True,True,2026-08-19T18:00:31Z,
qdk,microsoft/qdk,qc,main,False,False,2026-08-19T18:00:31Z,
