stratum,rank,project_id,in_window
hpc,1,faasm,True
hpc,2,mpi4py,True
hpc,3,envpool,True
hpc,4,zfp,True
hpc,5,openmc,True
hpc,6,sundials,True
hpc,7,amgcl,True
hpc,8,prometeo,True
hpc,9,spack,True
hpc,10,horovod,True
qc,1,qutip,True
qc,2,covalent,True
qc,3,qrisp,True
qc,4,qiskit-ibm-runtime,True
qc,5,qibo,True
qc,6,amazon-braket-sdk-python,True
qc,7,projectq,True
qc,8,dwave-ocean-sdk,True
qc,9,qsim,True
qc,10,qiskit,True
qc,11,openfermion,False
qc,12,quimb,False
qc,13,recirq,False
qc,14,qutip-qip,False
qc,15,qiskit-aer,False
qc,16,qpp,False
qc,17,pennylane,False
qc,18,pyzx,False
qc,19,pyquil,False
qc,20,qualtran,False
qc,21,qulacs,False
qc,22,qiskit-machine-learning,False
qc,23,rustworkx,False
qc,24,qmasm,False
qc,25,grove,False
qc,26,toqito,False
qc,27,stim,False
qc,28,blueqatsdk,False
qc,29,catalyst,False
qc,30,pennylane-qiskit,False
qc,31,torchquantum,False
